Date,Cases_Mean,Cases_LB,Cases_UB,Deaths_Mean,Deaths_LB,Deaths_UB,hospitalized_best,hospitalized_mean,hospitalized_worst,ICU_best,ICU_mean,ICU_worst,total_beds,regular_bed_supply_best,regular_bed_supply_mean,regular_bed_supply_worst,total_ICU_beds,ICU_bed_supply_best,ICU_bed_supply_mean,ICU_bed_supply_worst,patient_vent_lb,patient_vent_mean,patient_vent_ub,total_vents,open_vents_lb,open_vents_mean,open_vents_ub,med_tech,med_tech_active,med_tech_supply,med_tech_demand,nurse,nurse_active,nurse_supply,nurse_demand,phys,phys_active,phys_supply,phys_demand,resp,resp_active,resp_supply,resp_demand
2020-03-30,5244,3799,6976,61,54,69,1101.24,1363.44,1625.64,262.2,445.74,629.28,9024.4,7923.16,7660.96,7398.76,1085,822.8,639.26,455.72,71.3184,205.0404,312.018,2325,2253.6816,2119.9596,2012.982,0,,,,0,,,,10703,3820.971,,67,0,,,
2020-03-31,6894,4982,9197,80,71,91,1447.74,1792.44,2137.14,344.7,585.99,827.28,9024.4,7576.66,7231.96,6887.26,1085,740.3,499.01,257.72,93.7584,269.5554,410.193,2325,2231.2416,2055.4446,1914.807,0,,,,0,,,,10703,3820.971,,88,0,,,
2020-04-01,9061,6517,12131,106,93,119,1902.81,2355.86,2808.91,453.05,770.185,1087.32,9024.4,7121.59,6668.54,6215.49,1085,631.95,314.815,-2.32,123.2296,354.2851,539.1295,2325,2201.7704,1970.7149,1785.8705,0,,,,0,,,,10703,3820.971,,115,0,,,
2020-04-02,11907,8517,15993,139,121,157,2500.47,3095.82,3691.17,595.35,1012.095,1428.84,9024.4,6523.93,5928.58,5333.23,1085,489.65,72.905,-343.84,161.9352,465.5637,708.4665,2325,2163.0648,1859.4363,1616.5335,0,,,,0,,,,10703,3820.971,,151,0,,,
2020-04-03,15640,11117,21096,183,158,208,3284.4,4066.4,4848.4,782,1329.4,1876.8,9024.4,5740,4958,4176,1085,303,-244.4,-791.8,212.704,611.524,930.58,2325,2112.296,1713.476,1394.42,0,,,,0,,,,10703,3820.971,,199,0,,,
2020-04-04,20532,14454,27779,240,206,275,4311.72,5338.32,6364.92,1026.6,1745.22,2463.84,9024.4,4712.68,3686.08,2659.48,1085,58.4,-660.22,-1378.84,279.2352,802.8012,1221.654,2325,2045.7648,1522.1988,1103.346,0,,,,0,,,,10703,3820.971,,261,0,,,
2020-04-05,26938,18792,36505,315,270,362,5656.98,7003.88,8350.78,1346.9,2289.73,3232.56,9024.4,3367.42,2020.52,673.62,1085,-261.9,-1204.73,-2147.56,366.3568,1053.2758,1602.811,2325,1958.6432,1271.7242,722.189,0,,,,0,,,,10703,3820.971,,342,0,,,
2020-04-06,35311,24429,47958,414,352,478,7415.31,9180.86,10946.41,1765.55,3001.435,4237.32,9024.4,1609.09,-156.46,-1922.01,1085,-680.55,-1916.435,-3152.32,480.2296,1380.6601,2101.0045,2325,1844.7704,944.3399,223.9955,0,,,,0,,,,10703,3820.971,,448,0,,,
2020-04-07,46232,31736,62906,543,460,631,9708.72,12020.32,14331.92,2311.6,3929.72,5547.84,9024.4,-684.32,-2995.92,-5307.52,1085,-1226.6,-2844.72,-4462.84,628.7552,1807.6712,2750.804,2325,1696.2448,517.3288,-425.804,0,,,,0,,,,10703,3820.971,,586,0,,,
2020-04-08,60440,41241,82271,712,599,828,12692.4,15714.4,18736.4,3022,5137.4,7252.8,9024.4,-3668,-6690,-9712,1085,-1937,-4052.4,-6167.8,821.984,2363.204,3596.18,2325,1503.016,-38.204,-1271.18,0,,,,0,,,,10703,3820.971,,766,0,,,
2020-04-09,78860,53439,107486,933,781,1087,16560.6,20503.6,24446.6,3943,6703.1,9463.2,9024.4,-7536.2,-11479.2,-15422.2,1085,-2858,-5618.1,-8378.2,1072.496,3083.426,4692.17,2325,1252.504,-758.426,-2367.17,0,,,,0,,,,10703,3820.971,,999,0,,,
2020-04-10,102632,69478,139968,1221,1018,1429,21552.72,26684.32,31815.92,5131.6,8723.72,12315.84,9024.4,-12528.32,-17659.92,-22791.52,1085,-4046.6,-7638.72,-11230.84,1395.7952,4012.9112,6106.604,2325,929.2048,-1687.9112,-3781.604,0,,,,0,,,,10703,3820.971,,1301,0,,,
2020-04-11,133135,90165,181833,1595,1324,1874,27958.35,34615.1,41271.85,6656.75,11316.475,15976.2,9024.4,-18933.95,-25590.7,-32247.45,1085,-5571.75,-10231.475,-14891.2,1810.636,5205.5785,7921.5325,2325,514.364,-2880.5785,-5596.5325,0,,,,0,,,,10703,3820.971,,1687,0,,,
2020-04-12,171986,116335,234451,2079,1719,2445,36117.06,44716.36,53315.66,8599.3,14618.81,20638.32,9024.4,-27092.66,-35691.96,-44291.26,1085,-7514.3,-13533.81,-19553.32,2339.0096,6724.6526,10233.167,2325,-14.0096,-4399.6526,-7908.167,0,,,,0,,,,10703,3820.971,,2179,0,,,
2020-04-13,221012,149958,300634,2702,2223,3184,46412.52,57463.12,68513.72,11050.6,18786.02,26521.44,9024.4,-37388.12,-48438.72,-59489.32,1085,-9965.6,-17701.02,-25436.44,3005.7632,8641.5692,13150.214,2325,-680.7632,-6316.5692,-10825.214,0,,,,0,,,,10703,3820.971,,2800,0,,,
2020-04-14,282163,192575,380948,3501,2869,4125,59254.23,73362.38,87470.53,14108.15,23983.855,33859.56,9024.4,-50229.83,-64337.98,-78446.13,1085,-13023.15,-22898.855,-32774.56,3837.4168,11032.5733,16788.6985,2325,-1512.4168,-8707.5733,-14463.6985,0,,,,0,,,,10703,3820.971,,3575,0,,,
2020-04-15,357353,246196,477060,4518,3696,5329,75044.13,92911.78,110779.43,17867.65,30375.005,42882.36,9024.4,-66019.73,-83887.38,-101755.03,1085,-16782.65,-29290.005,-41797.36,4860.0008,13972.5023,21262.5035,2325,-2535.0008,-11647.5023,-18937.5035,0,,,,0,,,,10703,3820.971,,4527,0,,,
2020-04-16,448226,312523,594707,5800,4750,6846,94127.46,116538.76,138950.06,22411.3,38099.21,53787.12,9024.4,-85103.06,-107514.36,-129925.66,1085,-21326.3,-37014.21,-52702.12,6095.8736,17525.6366,26669.447,2325,-3770.8736,-15200.6366,-24344.447,0,,,,0,,,,10703,3820.971,,5678,0,,,
2020-04-17,555838,393834,729856,7400,6070,8683,116725.98,144517.88,172309.78,27791.9,47246.23,66700.56,9024.4,-107701.58,-135493.48,-163285.38,1085,-26706.9,-46161.23,-65615.56,7559.3968,21733.2658,33072.361,2325,-5234.3968,-19408.2658,-30747.361,0,,,,0,,,,10703,3820.971,,7041,0,,,
2020-04-18,680307,491598,880335,9374,7712,10906,142864.47,176879.82,210895.17,34015.35,57826.095,81636.84,9024.4,-133840.07,-167855.42,-201870.77,1085,-32930.35,-56741.095,-80551.84,9252.1752,26600.0037,40478.2665,2325,-6927.1752,-24275.0037,-38153.2665,0,,,,0,,,,10703,3820.971,,8618,0,,,
2020-04-19,820519,606575,1044284,11773,9764,13719,172308.99,213334.94,254360.89,41025.95,69744.115,98462.28,9024.4,-163284.59,-204310.54,-245336.49,1085,-39940.95,-68659.115,-97377.28,11159.0584,32082.2929,48820.8805,2325,-8834.0584,-29757.2929,-46495.8805,0,,,,0,,,,10703,3820.971,,10394,0,,,
2020-04-20,973975,738875,1218739,14648,12244,16892,204534.75,253233.5,301932.25,48698.75,82787.875,116877,9024.4,-195510.35,-244209.1,-292907.85,1085,-47613.75,-81702.875,-115792,13246.06,38082.4225,57951.5125,2325,-10921.06,-35757.4225,-55626.5125,0,,,,0,,,,10703,3820.971,,12338,0,,,
2020-04-21,1136880,876022,1420267,18035,15280,20665,238744.8,295588.8,352432.8,56844,96634.8,136425.6,9024.4,-229720.4,-286564.4,-343408.4,1085,-55759,-95549.8,-135340.6,15461.568,44452.008,67644.36,2325,-13136.568,-42127.008,-65319.36,0,,,,0,,,,10703,3820.971,,14401,0,,,
2020-04-22,1304495,1024874,1630767,21960,18858,25137,273943.95,339168.7,404393.45,65224.75,110882.075,156539.4,9024.4,-264919.55,-330144.3,-395369.05,1085,-64139.75,-109797.075,-155454.4,17741.132,51005.7545,77617.4525,2325,-15416.132,-48680.7545,-75292.4525,0,,,,0,,,,10703,3820.971,,16524,0,,,
